brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,latest_price,old_price,star_rating,ratings,reviews,Laptop_Category
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4,DDR4,0,1024 GB,Windows,64-bit,0,0,No,24990,32790,3.7,63,12,Other
Lenovo,Ideapad,AMD,APU Dual,10th,4,DDR4,0,512 GB,Windows,64-bit,0,0,No,19590,21325,3.6,1894,256,Other
Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0 GB,Windows,64-bit,0,0,No,19990,27990,3.7,1153,159,Other
Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0 GB,Windows,64-bit,0,0,No,21490,27990,3.7,1153,159,Other
Avita,PURA,AMD,APU Dual,10th,4,DDR4,256,0 GB,Windows,64-bit,0,0,No,24990,33490,3.7,1657,234,Other
Avita,PURA,AMD,APU Dual,10th,8,DDR4,256,0 GB,Windows,64-bit,0,0,No,24990,33490,3.7,1657,234,Computer Science/Engineering Students
HP,APU,AMD,APU Dual,10th,4,DDR4,0,1024 GB,Windows,32-bit,0,0,No,20900,22825,3.9,1185,141,Other
Lenovo,APU,AMD,APU Dual,10th,4,DDR4,0,1024 GB,Windows,64-bit,0,0,No,21896,0,3.9,219,18,Other
HP,Athlon,AMD,Athlon Dual,10th,32,DDR4,32,0 GB,Windows,32-bit,4,0,No,26899,27668,0.0,0,0,Other
acer,Aspire,AMD,Athlon Dual,10th,4,DDR4,256,0 GB,Windows,64-bit,0,1,No,31990,36990,4.2,76,13,Other
ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,0,1024 GB,Windows,64-bit,0,0,No,34649,41990,2.3,3,0,General Student
Lenovo,Missing,Intel,Core i3,10th,4,DDR4,0,1024 GB,Windows,64-bit,0,0,No,38999,42705,3.8,65,5,General Student
Lenovo,v15,Intel,Core i3,10th,4,DDR4,0,1024 GB,Windows,64-bit,0,0,No,39999,43999,3.1,8,1,General Student
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,512,0 GB,Windows,32-bit,2,0,No,69990,0,0.0,0,0,Business users/Business professionals
ASUS,VivoBook,Intel,Celeron Dual,Missing,4,DDR4,0,512 GB,Windows,64-bit,0,0,No,26990,28990,0.0,0,0,Other
ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,0,512 GB,Windows,64-bit,0,0,No,22990,27990,0.0,0,0,Other
ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,0,512 GB,Windows,32-bit,0,0,No,21990,25990,3.5,31,3,Other
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,0,1024 GB,Windows,32-bit,2,0,No,58799,77990,0.0,0,0,Other
Lenovo,Missing,Intel,Core i5,10th,4,DDR4,0,1024 GB,Windows,32-bit,0,0,No,49999,59000,0.0,0,0,Other
acer,Aspire,AMD,Ryzen,10th,4,DDR4,0,512 GB,Windows,32-bit,4,0,No,54990,89000,4.5,3190,414,Other
